artist,song,line
Re-Up Gang,Im a Hustla,I’m so at home with it like the Knicks in the Garden
Re-Up Gang,Im a Hustla,Ya’ll be wearing rosary beads like the cardinal
Lil Wayne,Carter II,I'm back like a brassiere hook
Canibus,Dr. C. Ph.D,"Flow like the Tigris, Euphrates with the eye of the tiger in my iris"
Canibus,Dr. C. Ph.D,Training like a grunt face down in the mud
Canibus,Dr. C. Ph.D,"If you don't like the quality, then talk to me"
Lil Wayne,Fireman,"Toss you like a fruit salad, strawberry grape you (Yeah)"
Lil Wayne,On My Own,"Ch-ch-ch-ch, I like the snares, Fresh"
Lil Wayne,On My Own,I got it on my mind like a psychic nigga
Lil Wayne,On My Own,I'm something you call pepper like a Viking slick
Fabolous,Whatever I Wan Do,It's Gs on they head like the helmet Brett Favre in
Fabolous,Whatever I Wan Do,I'm paid like a playa but move just like a skipper
Fabolous,Whatever I Wan Do,And then I beat it up somethin' like a womanizer
JAY-Z,Brooklyn Go Hard,I promise he won't like my reply
The Notorious B.I.G.,Juicy,"Time to get paid, blow up like the World Trade"
The Notorious B.I.G.,Juicy,"Uh, damn right I like the life I live"
Ol' Dirty Bastard,Brooklyn Zoo,"In your face like a can of mace, baby"
Ol' Dirty Bastard,Brooklyn Zoo,How I don't even like your motherfucking profile
Ol' Dirty Bastard,Brooklyn Zoo,"Nigga, get up, act like a pig, try to hog shit"
The Notorious B.I.G.,The What,And niggas know they soft like a Twinkie filling
The Notorious B.I.G.,The What,I want the fucking fortune like the Wheel
The Notorious B.I.G.,The What,Looking cold-booty like your pussy in December
The Notorious B.I.G.,The What,"I used to do stick-ups, 'cause hoes is irritating like the hiccups"
The Notorious B.I.G.,The What,"It's the praying mantis, deep like the mind of Farrakhan"
Fabolous,Im Gettin Money,"The bentley wag' bullet proof, like a Brinks truck"
Fabolous,Im Gettin Money,Rubberbands round' the stacks like a ponytail
Fabolous,Not Give a Fuck,I'm somethin' like a phenomenon
Fabolous,Not Give a Fuck,When I pull up like the pamper brand
Fabolous,Niggaz,"And stacked it up, like the Pringle chips, when the cash came (Nigga!)"
Fabolous,Niggaz,"But I know, everything about rollin' up, like a Dutch and a Spyder"
Jadakiss,Knock Yourself Out,I know ya man really wouldn't like the Beretta but he'd hate the Mag
JAY-Z,Hate,We blasting off just like a laser
Juvenile,Back That Azz Up,"Wanna walk it like a dog, yeah, break you off, yeah"
Juvenile,Back That Azz Up,Beat the dick like a motherfucking drummer chick
JAY-Z,A Star Is Born,"But I’m the blueprint, I'm like the map for 'em"
JAY-Z,A Star Is Born,Like a male version of Lauryn Hill
JAY-Z,A Star Is Born,"Cole, you got the glow like a lil' lightsaber"
Lil Wayne,A Milli,"I'm a venereal disease, like a menstrual bleed"
Lil Wayne,A Milli,But you like a bitch with no ass: You ain't got shit
JAY-Z,Can I Get A…,"I like a - lot of Prada, Alizé and vodka"
JAY-Z,Can I Get A…,Like my puss wet and they don't dry like damp clothes
Clipse,Eghck,"White was the treasure, comfort was the steelI pedal to the corner like a child on a big wheelFlow more sicker, so much shake in the street"
Clipse,Eghck,Gun on my hip like a sergeant
Clipse,Eghck,Like a vampire
Eminem,My Name Is,Clothes ripped like the Incredible Hulk
Snoop Dogg,Lodi Dodi,"Now I'm fresh, dressed like a million bucks"
Ol' Dirty Bastard,Shimmy Shimmy Ya,(I like the way you talk)
Ol' Dirty Bastard,Shimmy Shimmy Ya,(I like the way you talk)
Jeezy,Go Crazy,In the game like a baby born to breech birth
Fabolous,Suicide,And when I spit you could dig it like a shovel said it
JAY-Z,Empire State of Mind,"Catch me in the kitchen, like a Simmons whippin' pastry"
JAY-Z,Empire State of Mind,"Everybody ride her, just like a bus route"
JAY-Z,Empire State of Mind,MDMA got you feelin' like a champion
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
The Notorious B.I.G.,Mo Money Mo Problems,It's like the more money we come across
Jim Jones,We Fly High,The rap game like the crack game
Twista,Slow Jamz,You ain't know Twista can work it like The Whispers?
Twista,Slow Jamz,"I keep it pimping like an old man, you gots to roll with the plan"
Twista,Slow Jamz,"I keep it pimping like an old man, you gots to roll with the plan"
Cam'ron,Spend the Night,Meditate like a Buddhist expose em like a nudist
Cam'ron,Spend the Night,"From Chi town back to Frisco, my diamonds like the disco"
Cam'ron,Spend the Night,"My mouth is like the sewer, yeah yeah I keep it gutter"
Cam'ron,Spend the Night,You had your guard up at first like a soccer goalie
Lil Wayne,Mrs. Officer,Wee-ooh-wee-ooh-wee (like a cop car)
Lil Wayne,Mrs. Officer,"Now I got her hollering, sounding like a siren"
Lil Wayne,Mrs. Officer,Wee-ooh-wee-ooh-wee (like a cop car)
Lil Wayne,Mrs. Officer,Then I beat it like a cop
Lil Wayne,Mrs. Officer,"Rodney King, baby, yeah I beat it like a cop"
Lil Wayne,Mrs. Officer,Hahah! Beat it like a cop
Lil Wayne,Mrs. Officer,"Rodney King baby said ""Beat it like a cop"""
Lil Wayne,Mrs. Officer,(Wee-ooh-wee-ooh-wee) Like a cop car
Clipse,Grindin Remix,Why you actin like my daughters? You know I got sons
Clipse,Grindin Remix,It was kinda like my buddy just fell off the see-saw
Lil Wayne,Weezy Baby,"I'm gettin' them Benjamins, can serve like the Wimbledon (Yeah)"
Lil Wayne,3 Peat,Fuck is up? Beat him up like a million uppercuts
Fat Joe,Make It Rain Remix,"It's Young Money, and we on like the television"
Fat Joe,Make It Rain Remix,"All red doors up, doin' it like a real G"
Fat Joe,Make It Rain Remix,Make moves like a young tycoon (Ayy!)
Fat Joe,Make It Rain Remix,I come through like a young typhoon (Ohh)
Fat Joe,Make It Rain Remix,It ain't no bitch like a hustle bunny (No)
Kanye West,All Falls Down,"Now, Syleena, you just like a safe belt, you saved my life"
The Notorious B.I.G.,One More Chance / Stay With Me Remix,"Low Down Dirty, even, like his brother Keenan"
The Notorious B.I.G.,One More Chance / Stay With Me Remix,While I'm swimmin' in your women like the breast stroke
Nas,N.Y. State of Mind,"I ran like a cheetah, with thoughts of an assassin"
Nas,N.Y. State of Mind,"(So, what you sayin'?) It's like the game ain't the same"
Nas,N.Y. State of Mind,"Young bitches is grazed, each block is like a maze"
Nas,N.Y. State of Mind,Inhale deep like the words of my breath
Junior M.A.F.I.A.,Gettin Money Get Money Remix,You can be as good as the best of them
Junior M.A.F.I.A.,Gettin Money Get Money Remix,"But as bad as the worst, so don't test me (Get money)"
Junior M.A.F.I.A.,Gettin Money Get Money Remix,You can be as good as the best of them
Junior M.A.F.I.A.,Gettin Money Get Money Remix,"But as bad as the worst, so don't test me (Get money)"
Junior M.A.F.I.A.,Gettin Money Get Money Remix,You can be as good as the best of them
Junior M.A.F.I.A.,Gettin Money Get Money Remix,"But as bad as the worst, so don't test me (Get money)"
Junior M.A.F.I.A.,Gettin Money Get Money Remix,You can be as good as the best of them
Junior M.A.F.I.A.,Gettin Money Get Money Remix,"But as bad as the worst, so don't test me (Get money)"
Junior M.A.F.I.A.,Gettin Money Get Money Remix,You can be as good as the best of them
Junior M.A.F.I.A.,Gettin Money Get Money Remix,"But as bad as the worst, so don't test me (Get money)"
Junior M.A.F.I.A.,Gettin Money Get Money Remix,You can be as good as the best of them
Junior M.A.F.I.A.,Gettin Money Get Money Remix,"But as bad as the worst, so don't test me (Get money)"
JAY-Z,Allure,"I'm like a Russian mobster, drinking distilled vodka"
JAY-Z,Allure,"Peel the top up like a toupée, mix the water with the soda"
Raekwon,Gihad,"He popped up (""Oh, shit!"") I'm like a crooked cop"
Raekwon,Gihad,She take a bone like a ribeye steak at Ruth's Chris
Cormega,The Saga,"Times change, like the climate I change"
Cormega,The Saga,"Like the Bible said, Jesus had napped hair"
2Pac,To Live and Die in L.A.,Full of drama like a soap opera
Cormega,Tony/Montana,"We can take it to the streets, like a game at the Rucker"
Cormega,Tony/Montana,But my raps is relentless like a MAC with an infra
JAY-Z,Thank You,For The Color of Money like a Tom Cruise flick
JAY-Z,Thank You,"Blew a cloud out like a L into a jar, then took a smell"
Fatlip,Whats Up Fatlip?,"But on the flipside, when you're washed up like a riptide"
Fatlip,Whats Up Fatlip?,[KRS-One: What do you expect when you rhyme like a soft punk?]
Fatlip,Whats Up Fatlip?,Goin' like a sucka almost every day
MF DOOM,Angelz,"Freed his right arm and leg, it was more like a sweep"
Nas,Halftime,"Atlanta ain't Brave-r, I pull a number like a pager"
Nas,Halftime,‘Cause I'm as ill as a convict who kills for phone time
Nas,Halftime,"Versatile, my style switches like a faggot"
Nas,Halftime,"‘Cause in the streets, I'm well-known like the number man"
Nas,The World Is Yours,The fiend of hip-hop has got me stuck like a crack pipe
Nas,The World Is Yours,"Headed for Indiana, stabbin' women like the Phantom"
Clipse,Keys Open Doors,"And I walk with a glow, it's like the Lord's shown favor"
Clipse,Keys Open Doors,These bitches fake like the hoes on Flavor
J. Cole,Back to the Topic Freestyle,Feeling like a puppet and the Devil is Geppetto
J. Cole,Back to the Topic Freestyle,My world a little darker like a fuckin' tan line
J. Cole,Back to the Topic Freestyle,Get a whole lot of you know and she bald like an Eagle
J. Cole,Back to the Topic Freestyle,Cole is like the leader of the new niggas
J. Cole,Back to the Topic Freestyle,I’m picturing that body like a camera phone would
J. Cole,Just to Get By,‘Fore you get tossed like a forward lateral
J. Cole,Just to Get By,"Like a beach in a tsunami,  you'll find me in the ‘Ville"
J. Cole,Just to Get By,‘Bout that money prob-ly like a fucking robbery
OutKast,Elevators Me  You,"But he kept smiling like a clown, facial expression looking silly"
T.I.,Rubber Band Man,"Rubberband man, like a one-man band"
T.I.,Rubber Band Man,Treat these niggas like the Apollo and I'm the Sandman
Dr. Dre,Bitches Aint Shit,"I was in love like a motherfucker, lickin' the pearl tongue"
Dr. Dre,Bitches Aint Shit,"Like a washer machine, I can wash the clothes"
Cam'ron,Get Em Daddy,I'm like a crack addict
Cam'ron,Get Em Daddy,"It's like my lawyer know black magic, black rabbit"
Cam'ron,Get Em Daddy,"Had them bitches ass-backwards, fuck 'em like a jackrabbit"
Cam'ron,Get Em Daddy,We like the March Of Dimes the way we march with dimes
Memphis Bleek,Dear Summer,They like the drunk uncle in your family
Junior M.A.F.I.A.,Get Money,"Play me like a chicken, thinkin' I'm pressed to get it"
JAY-Z,Success,"I mean, I like the taste, could've saved myself 6 hours"
"Drake, Kanye West, Lil Wayne & Eminem",Forever,"Like a sprained ankle, boy, I ain't nothin' to play with"
"Drake, Kanye West, Lil Wayne & Eminem",Forever,"Dropped the mixtape, that shit sounded like an album"
"Drake, Kanye West, Lil Wayne & Eminem",Forever,And went hard all fall like the ball teams
"Drake, Kanye West, Lil Wayne & Eminem",Forever,Remember she had that bad hip like a fanny pack?
Talib Kweli,Get By Remix,It's like a Michelangelo painted a portrait of Maya Angelou
Fugees,Zealots,"I'll be planning your assassination, then hit you like the Dutchman"
Fugees,Zealots,Then get buried like the great Mussolini
Eminem,Stan,"I like the shit you did with Rawkus too, that shit was phat"
Eminem,Stan,"That's pretty shitty, man, you're like his fuckin' idol"
Eminem,Kill You,"Just bend over and take it like a slut—okay, Ma?"
Eminem,Kill You,"Bitch, I'ma kill you! Like a murder weapon, I'ma conceal you"
Drake,Im Goin In,Stomping on this beat like a motherfucking Sigma
Drake,Im Goin In,Making hoes wobble like a bridge in a earthquake
Drake,Im Goin In,"Money flowin' like a slit wrist, no bandage"
Drake,Im Goin In,"And I don't sit still, I keep it moving like a drive-by"
Bubba Sparxxx,Aint Life Grand,It's like my fourhead stacks off a baby put it
Bubba Sparxxx,Aint Life Grand,"Like a herd of bison, when I start riflin"
Bubba Sparxxx,Aint Life Grand,This whole fuckin ship for a like a million and three moons (bitch)
Scarface,On My Block,"On my block, it's like the world don't exist"
Master P,Captain Kirk,"Figured she had game, tryin' to fuck a young balla nigga like my mind"
Ol' Dirty Bastard,Got Your Money,You act like your pussy on interrupt
Dr. Dre,Let Me Ride,"I make a phone call, my niggas comin' like the Gotti boys"
Dr. Dre,Let Me Ride,"Bumpin' like a motherfucker, ready to get my serve on"
Lupe Fiasco,Hurt Me Soul,"But Too $hort made me laugh, like a hypocrite I played it"
Lupe Fiasco,Hurt Me Soul,'Bout as uncomfortable as an untouchable touching you
Nelly,Ride wit Me,"""I like the way you brush your hair"
Nelly,Ride wit Me,I like the way the light hit the ice and glare
50 Cent,21 Questions,"Like your smile, I don't want to see you cry"
50 Cent,21 Questions,I love you like a fat kid love cake
Madvillain,Rhinestone Cowboy,Had to tighten it up like the Drells and Archie Bell
Madvillain,Rhinestone Cowboy,Raw lyrics—he smells 'em like a hunch
BET,2009 BET Hip Hop Awards - Cypher 3,Risin' up out of the flames like a phoenix
BET,2009 BET Hip Hop Awards - Cypher 3,Strainin' to carry the weight of my brain like a genius
BET,2009 BET Hip Hop Awards - Cypher 3,"Blastoff, I lay 'em out like a Tempurpedic"
BET,2009 BET Hip Hop Awards - Cypher 3,Like a dope fiend opening up a bottle of dopamine
Lil Wayne,D.O.A.,And I say what I won like an award show
Lil Wayne,D.O.A.,Sit back and watch the green grow like the grass wet
Lil Wayne,D.O.A.,"Ugh, I'm in the zone like a fastball"
Lil Wayne,D.O.A.,And I fuck the game up like a bad call
Lil Wayne,D.O.A.,"Ugh, I'm in the zone like the secondary"
Dr. Dre,Still D.R.E.,My life's like a soundtrack I wrote to the beat
Dr. Dre,Still D.R.E.,Still got it wrapped like a mummy
The Gregory Brothers,Bed Intruder Song,"Coffee complexion, low cut like a Caesar"
JAY-Z,Hard Knock Life Ghetto Anthem,"Flow infinitely like the memory of my nigga Biggie, baby!"
DJ Khaled,We Takin Over,"Like the MAC got a EZ pass, nigga what?"
DJ Khaled,We Takin Over,I'ma tell you like a G told me
DJ Khaled,We Takin Over,And I like my Sprite Easter pink
DJ Khaled,We Takin Over,I stay on track like a box of Pumas
Lil Wayne,Dr. Carter,"Excuse me if I'm late, but like a thief it takes"
Lil Wayne,Dr. Carter,"So picture me like a gallery, capture what I say"
Lil Wayne,Dr. Carter,"Gotta kick it, kick it like a sensei"
Lil Wayne,Dr. Carter,"That swagger, I got it, I wear it like a coat"
Wu-Tang Clan,Protect Ya Neck,Swingin' through your town like your neighborhood Spider-Man
Wu-Tang Clan,Protect Ya Neck,And I'ma get mad deep like a threat
Wu-Tang Clan,Protect Ya Neck,"And set it off, get it off, let it off like a gat"
Wu-Tang Clan,Protect Ya Neck,Like the Hudson or PCP when I'm dustin'
Wu-Tang Clan,Protect Ya Neck,I'll be stickin' pins in your head like a fuckin' nurse
Wu-Tang Clan,Protect Ya Neck,"Here's more again, catch it like a psycho flashback"
Wu-Tang Clan,Protect Ya Neck,And get far like a shootin' star
Wu-Tang Clan,Protect Ya Neck,Now that thought was just as bright as a 20-watt light bulb
Big Pun,Boomerang,"I'm like a psycho fucking, sucking the butt like liposuction"
Big Pun,Boomerang,"C'mon on, sister, Big Pun's Mr. ""Cock and Squeeze"" like a gun tester"
Big Pun,Boomerang,"It's like a dream, I called my team and started flipping"
Big Pun,Boomerang,Niggas off the ground like a magician
Big Pun,Boomerang,Storm like the Redcoats through anything in my path
Big Pun,Boomerang,"Live like the Kennedies, above the law"
Big Pun,Boomerang,A beaten horse like a slave getting minimum wage
Big Pun,Boomerang,Storm like the Redcoats through anything in my path
Lil Wayne,Georgia... Bush / Weezyz Ambitionz,Make it look like a lotta stealing going on
Lil Wayne,Georgia... Bush / Weezyz Ambitionz,Boy I bet that shotty make you bounce like a bed spring
Lil Wayne,Georgia... Bush / Weezyz Ambitionz,"And with no pen I'm sorta like a bomb ""Boom"""
Lil Wayne,Georgia... Bush / Weezyz Ambitionz,We done lost everything and you looking like a bargain
Lil Wayne,Georgia... Bush / Weezyz Ambitionz,"All in ya girl mouth, use her like a toilet"
Lil Wayne,Georgia... Bush / Weezyz Ambitionz,"No ice I like my drink straight, not gay"
JAY-Z,Venus vs. Mars,"Body like a Coke bottle, I crush it like a Coke can"
Cam'ron,Bubble Music,"We like the musketeers, trained by Cus D'amato"
Cam'ron,Bubble Music,"Watch Sanford and Son, I'm like the buzz in Rollo"
Cam'ron,We Make Change,Like your bitchin' wife and sister might get tonight
Big L,Ebonics,I know you like the way I'm freakin' it
Big L,Ebonics,I know you like the way I'm freakin' it
Big L,Ebonics,"Uh, I know you like the way I'm freakin' it"
Project Pat,Smoke and Get High,"Game recognize, eyes lit like a match"
Eminem,Role Model,'Cause I stand out like a green hat with a orange bill
JAY-Z,Where Im From,"And fuck tomorrow, as long as the night before was sweet"
JAY-Z,Where Im From,"This time around it's platinum, like the shit on my wrist"
Clipse,Chinese New Year,I was in and out of homes like the Orkin Man
Clipse,Chinese New Year,"Never listen to my parents like an orphan, man"
Warren G,Regulate,"I said, ""Ooh, I like your size!"""
Slaughterhouse,Onslaught,"Mayne, walk around like the thing get to cockin' (what?)"
Slaughterhouse,Onslaught,"Itchi'n like a syphilis dick, itchin' like the skin of a bitch"
Slaughterhouse,Onslaught,I'll Be There like a young Mike Jack'
JAY-Z,What More Can I Say,Paint me like a pickany
Cam'ron,Leave Me Alone Pt. 2,"But I'm like the Ice Man, Michael Kuklinski"
Cam'ron,Leave Me Alone Pt. 2,I'm more like the plant in Little Shop Of Horrors
Eminem,Lose Yourself,"Gotten me to the point I'm like a snail, I've got"
Clipse,Kinda Like a Big Deal,I'm kinda like a big deal
Clipse,Kinda Like a Big Deal,"I'm set straight like a perm do it, Push"
Clipse,Kinda Like a Big Deal,"Pardon me, I must say, I'm kinda like a big deal"
Clipse,Kinda Like a Big Deal,I guess I'm like the black Marshall meets Jay
Clipse,Kinda Like a Big Deal,"Pardon me, I must say, I'm kinda like a big deal"
Clipse,Kinda Like a Big Deal,"The roof vamoose, like a magic show"
Clipse,Kinda Like a Big Deal,Got me looking to the heavens like a javelin throw
Clipse,Kinda Like a Big Deal,Y'all twiddle your thumbs like the average Joe
Clipse,Kinda Like a Big Deal,"Pardon me, I must say, I'm kinda like a big deal"
Clipse,Popular Demand Popeyes,"Coke like a caterpillar, I make butter fly, I"
Clipse,Popular Demand Popeyes,"It made its way home like a road map, I fathered this"
Canibus,C Section,Lyrical menace scrape enamel off your teeth like a dentist
Lil Wayne,The Rapper Eater,Your rapper is the same flowin like a bad river
Lil Wayne,The Rapper Eater,Big bezzel make my watch look like a hog head
Lil Wayne,The Rapper Eater,"And now I let it blow, like a bad wood"
Lil Wayne,The Rapper Eater,Stand strong in the water like a commadore
Lil Wayne,Ice Cream,Make the girls say my name like a roll call
Lil Wayne,Ice Cream,"Big bread, bread like a picnic, nigga"
Lil Wayne,Ice Cream,"Shake the whole game like the Hit-Stick, nigga"
Lil Wayne,Ice Cream,"Brang it to his face, and he ran like a flanker"
Lil Wayne,Ice Cream,Stupid-fruity swag like a motherfucking Runt
Lil Wayne,Ice Cream,And I be with my dog like a motherfucker hunt
Lil Wayne,Ice Cream,We can get it popping like a semi-automatic
Lil Wayne,Ice Cream,"Bitch, I go hard like the boy from ""300"""
Cam'ron,Get It In Ohio,"Westside, did the Southside like the White Sox (What up Stony Island?)"
Cam'ron,Get It In Ohio,"Don't forget the Chi though, guns are like a pyro"
Cam'ron,Get It In Ohio,"You keep playing, you will look like a gyro"
Cam'ron,Get It In Ohio,"Don't forget the Chi though, guns are like a pyro"
Cam'ron,Get It In Ohio,"You keep playing, you will look like a gyro"
Canibus,Drama A/T,Poison your queen like the Furher's last week
DMX,Blackout,"If I don't like a nigga, I don't even be bothered"
Lil Wayne,Wayne on Me,"Tattoos on her waist, she like the tattoos on my face"
Cam'ron,Soap Opera,Ain't like my job or guys I employ
The Notorious B.I.G.,Notorious Thugs,I'ma tell you like a nigga told me
Joe Budden,Dumb Out,A few stopped acting like my private dancer
Joe Budden,Dumb Out,Gave me headache till I felt like an Excedrin
Joe Budden,Dumb Out,"As ill as the flow gets, need a pill or don't snitch"
Joe Budden,Dumb Out,"Or 50 before Em, Nas talking like a gun in his song"
2Pac,Hail Mary,The blow is like a 12-Gauge shotty (Uh) feel me!
2Pac,Hail Mary,Revenge is like the sweetest joy next to gettin' pussy
2Pac,Hail Mary,"But we ride, ride it like a bullet"
2Pac,Hail Mary,Free like the bird in the tree
2Pac,Hail Mary,"Yes, we free like the bird in the tree"
Nas,Ether,"It's like a AIDS test, what's the results?"
Nas,Ether,And now I smile like a proud dad watchin' his only son that made it
Nas,Ether,"With whiskers like a rat, compared to Beans, you wack"
Equipto,Here to There,"Like the country girls, cats smokin dope out they pockets"
Equipto,Here to There,"Hit New York like a Giant, the swings are back"
Equipto,Here to There,"Like my pops say, we get money"
Juelz Santana,Mixing Up the Medicine,I been in the lab like a chemist: just developin'
Juelz Santana,Mixing Up the Medicine,"I'm ballin like the 80s, so James Worthy"
The Notorious B.I.G.,One More Chance,I was waiting outside for your ass for like a fucking hour
Swizz Beatz,Its Me Bitches,"You front, I'mma I'ma shoot that ass like a free throw"
Nicki Minaj,Beam Me Up Scotty,You know I'm like a multiple personality bitch
Nicki Minaj,Beam Me Up Scotty,"If he work da middle like a mohawk, tell'em he can meet me where dem girls say aloha"
Tom Tom Club,Wordy Rappinghood,Words are like a certain person
Do or Die,Still Po Pimpin,Nominated just to ball like a Democrat
Do or Die,Still Po Pimpin,Flip a penny to a dime I'm like an O-G
Juelz Santana,Lets Go From Me to U,"Get mad like her papa, got an ass like her mama"
Lil Wayne,No Ceilings Pop That,"Born in the middle, shining like a diamond"
Aaliyah,Miss You Remix,I never seen pain like your parents' pain
JAY-Z,Hello Brooklyn 2.0,"Like a mama, you birth me; Brooklyn, you nursed me"
JAY-Z,Hello Brooklyn 2.0,She told me she like my New Orleans demeanor
Kanye West,Through the Wire,Look back on my life like the Ghost of Christmas Past
Ice Cube,The Nigga Ya Love to Hate,That's why I'm sick of getting treated like a goddamn stepchild
Ice Cube,The Nigga Ya Love to Hate,It almost look like the Bandstand
Ice Cube,The Nigga Ya Love to Hate,About as much as the Bicentennial
Dr. Dre,Keep Their Heads Ringin,But get popped like a pimple: so call me Clearasil
Dr. Dre,Keep Their Heads Ringin,"The enforcer, music floats like a flying saucer"
Dr. Dre,Keep Their Heads Ringin,'Cause I grab the mic and flip my tongue like a dyke
Dr. Dre,Keep Their Heads Ringin,Step on stage and get faded just like a flat-top
2Pac,California Love,The track hits your eardrum like a slug to your chest
2Pac,California Love,Bumpin' and grindin' like a slow jam
Birdman,Money to Blow,"Higher than the ceiling (Ceiling), fly like a bird (Like a bird)"
Dr. Dre,Nuthin But a G Thang,Give me the microphone first so I can bust like a bubble
Dr. Dre,Nuthin But a G Thang,"Dre, creep to the mic like a phantom"
Dr. Dre,Nuthin But a G Thang,Gettin' funky on the mic like a old batch of collard greens
Dr. Dre,Nuthin But a G Thang,Pimpin' hoes and clockin' a grip like my name was Dolemite
Dr. Dre,Nuthin But a G Thang,Mobbin' like a motherfucker but I ain't lynchin'
Dr. Dre,Nuthin But a G Thang,"When I'm on the mic, it's like a cookie, they all crumble"
Dr. Dre,Nuthin But a G Thang,I told ya I'm just like a clock when I tick and I tock
Dr. Dre,Nuthin But a G Thang,"Like my nigga D.O.C., no one can do it better"
Mystikal,Bouncin Back Bumpin Me Against The Wall,I accept my wages like the way that I fail
Kanye West,Big Brother,Standing there like a mime and let the chance pass by
Kanye West,Big Brother,And my shit was more like a finger roll
Kanye West,Big Brother,"Shoulda talked to you like a man, shoulda told you first"
