artist,song,signified,signifier,line
Re-Up Gang,Im a Hustla,beads,the cardinal,Ya’ll be wearing rosary beads like the cardinal
Cam'ron,Harlem Streets,place,"Harlem , man","But ain't no place like Harlem, man"
Cam'ron,Harlem Streets,bricks,sneakers,"And I get it cheaper, I cop bricks like sneakers"
Canibus,Dr. C. Ph.D,training,a grunt face down in the mud,Training like a grunt face down in the mud
Kanye West,Barry Bonds,white,Shady,My teeth and my ice so white like Shady
Fabolous,Whatever I Wan Do,shooter,JJ Redick,They know Duke got a shooter like JJ Redick
Fabolous,Whatever I Wan Do,strung,Whitney,"Strung like Whitney, I brung like 50"
The Notorious B.I.G.,Youre Nobody Til Somebody Kills You,dirty,cleats,"Hope you creeps got receipts, my peeps get dirty like cleats"
The Notorious B.I.G.,Youre Nobody Til Somebody Kills You,incidents,this,"Incidents like this, I take trips"
Ol' Dirty Bastard,Brooklyn Zoo,science,Cosby,I drop science like Cosby dropping babies
Ol' Dirty Bastard,Brooklyn Zoo,drops,rain,My hip-hop drops on your head like rain
The Notorious B.I.G.,The What,soft,a Twinkie filling,And niggas know they soft like a Twinkie filling
The Notorious B.I.G.,The What,fortune,the Wheel,I want the fucking fortune like the Wheel
The Notorious B.I.G.,The What,something,this,And it goes a little something like this
The Notorious B.I.G.,The What,mantis,the mind of Farrakhan,"It's the praying mantis, deep like the mind of Farrakhan"
Fabolous,Im Gettin Money,nothing,y all,Ya' see I'm nothing like y'all guys
Fabolous,Im Gettin Money,proof,a Brinks truck,"The bentley wag' bullet proof, like a Brinks truck"
Fabolous,Im Gettin Money,stacks,a ponytail,Rubberbands round' the stacks like a ponytail
Fabolous,Not Give a Fuck,somethin',a phenomenon,I'm somethin' like a phenomenon
Fabolous,Not Give a Fuck,bumpin,Bumb - ba - Bump,"Bumpin' like ""Bumb-ba-Bump"""
Fabolous,Not Give a Fuck,loose,y all,Know y'all lips get loose like y'all feminine
Fabolous,Niggaz,everything,a Dutch and a Spyder,"But I know, everything about rollin' up, like a Dutch and a Spyder"
Jadakiss,Knock Yourself Out,chickenhead,Lil,But I'll still fuck a chickenhead like Lil' Cease
JAY-Z,Hate,girls,Katy Perry,Kiss girls like Katy Perry
JAY-Z,Hate,king,T.I.,"King like T.I., but in the Chi, Larry"
JAY-Z,Hate,chi,Gale Sayers,See 'Ye is running the Chi like Gale Sayers
Jadakiss,We Gonna Make It,anything,Kiss,"""Sound anything like Kiss? Then sign right here!"""
JAY-Z,A Star Is Born,glow,a lil  lightsaber,"Cole, you got the glow like a lil' lightsaber"
Lil Wayne,A Milli,disease,a menstrual bleed,"I'm a venereal disease, like a menstrual bleed"
Lil Wayne,A Milli,rappin,"B.I.G. , Jay , and 2Pac","See, they say I'm rappin' like B.I.G., Jay, and 2Pac"
Nicki Minaj,I Get Crazy,bells,Tinky,"I mean, my name ring bells like Tinky"
JAY-Z,Can I Get A…,things,all of them,If I couldn't get you finer things like all of them diamond rings
The Game,The Documentary,feelin,Puff,'Cause I'm feelin' like Puff when Life After Death hit
JAY-Z,Feelin It,towns,"Cambridge I killed that with ,","And all the towns like Cambridge that I killed with, shit"
JAY-Z,Feelin It,wet,Baywatch,The Cristals they keep me wet like Baywatch
Clipse,Eghck,pedal,a child,"White was the treasure, comfort was the steelI pedal to the corner like a child on a big wheelFlow more sicker, so much shake in the street"
Snoop Dogg,Lodi Dodi,something,this,As it go a little something like this
Jeezy,Go Crazy,work,spandex with the latex ( yeah,Wrap the work like spandex with the latex (yeah)
Fabolous,Suicide,niggas,Smush,"I gotta be Kobe, you never see niggas like Smush in the paper"
JAY-Z,Run This Town,lookin,millionaires  row,So my banquette is lookin' like millionaires' row
JAY-Z,Empire State of Mind,feelin,a champion,MDMA got you feelin' like a champion
Jim Jones,We Fly High,game,the crack game,The rap game like the crack game
Twista,Slow Jamz,biggie,Shyne home,"She be grabbing, calling me Biggie, like Shyne home"
Twista,Slow Jamz,rhythm,Marvin and Luther,When it come to rocking the rhythm like Marvin and Luther
Cam'ron,Spend the Night,diamonds,the disco,"From Chi town back to Frisco, my diamonds like the disco"
Cam'ron,Spend the Night,nigga,me,"A nigga like me, won't meet another, you clogged up, I'll be your plumber"
Cam'ron,Spend the Night,hood,Lebanon,"My hood like Lebanon, but that's its Benneton"
Lil Wayne,Mrs. Officer,wee,a cop car,(Wee-ooh-wee-ooh-wee) Like a cop car
Clipse,Grindin Remix,nigga,me shinin,You see a nigga like me shinin' (grinding!)
Clipse,Grindin Remix,nigga,me shinin,You see a nigga like me shinin' (grinding!)
Lil Wayne,Weezy Baby,goin',bitch,It's real pimpin' goin' on like bitch
Lil Wayne,3 Peat,bounce,Magic,"Bounce right back on them bitches, like Magic"
Lil Wayne,3 Peat,game,Stuart,"Yeah, I got game like Stuart"
Fat Joe,Make It Rain Remix,chicks,Major Payne,I be drillin' these chicks like Major Payne
Fat Joe,Make It Rain Remix,moves,a young tycoon ( Ayy,Make moves like a young tycoon (Ayy!)
Fat Joe,Make It Rain Remix,money,custom money ( No,It ain't no money like custom money (No)
Fat Joe,Make It Rain Remix,bitch,a hustle bunny ( No,It ain't no bitch like a hustle bunny (No)
The Notorious B.I.G.,One More Chance / Stay With Me Remix,payne,Damon Wayans,There I is! Major Payne like Damon Wayans
The Notorious B.I.G.,One More Chance / Stay With Me Remix,dirty,his brother Keenan,"Low Down Dirty, even, like his brother Keenan"
Nas,N.Y. State of Mind,lamp,Capone,"And lamp like Capone, with drug scripts sewn"
Nas,N.Y. State of Mind,inhale,the words of my breath,Inhale deep like the words of my breath
Junior M.A.F.I.A.,Gettin Money Get Money Remix,love,Wimbledon,"She hitting me and him and him, much love like Wimbledon"
Raekwon,Gihad,hair,Something About Mary,"Side of her face, and hair like Something About Mary"
Raekwon,Gihad,bone,a ribeye steak at Ruth s Chris,She take a bone like a ribeye steak at Ruth's Chris
Cormega,The Saga,reminder,Greek ruins,I'm sick of hearin' eulogies I realize my nigga Blue is a reminder of my past like Greek ruins
Cormega,The Saga,change,the climate I change,"Times change, like the climate I change"
Cormega,The Saga,ghetto,graffiti,Ghetto like graffiti and crack sales
2Pac,To Live and Die in L.A.,record,2Pac ’s new one,"“Street Science, you’re on the air. What do you feel when you hear a record like 2Pac’s new one?”"
Cormega,Tony/Montana,relentless,a MAC with an infra,But my raps is relentless like a MAC with an infra
The Diplomats,Real Nis,curves,Emmitt,"Aston Zagato, drop though, hitting curves like Emmitt"
JAY-Z,Thank You,blew,a L,"Blew a cloud out like a L into a jar, then took a smell"
The Diplomats,Crunk Muzik,high,space,"High like space, .45 on waist"
The Diplomats,Crunk Muzik,high,space,"High like space, .45 on waist"
The Diplomats,Crunk Muzik,high,space,"High like space, .45 on waist"
The Diplomats,Crunk Muzik,high,space,"High like space, .45 on waist"
The Diplomats,Crunk Muzik,high,space,"High like space, .45 on waist"
Nas,Halftime,number,a pager,"Atlanta ain't Brave-r, I pull a number like a pager"
Nas,The World Is Yours,stuck,a crack pipe,The fiend of hip-hop has got me stuck like a crack pipe
Nas,The World Is Yours,time,Pappy Mason,"Time like Pappy Mason, with pens I'm embracin'"
Clipse,Keys Open Doors,story,"Cham ,","This is my ghetto story like Cham, Ice-P is the Don Dada"
Clipse,Keys Open Doors,niggas,you,"Like you internet sharin' my files, you MySpace niggas"
Clipse,Keys Open Doors,fake,the hoes on Flavor,These bitches fake like the hoes on Flavor
J. Cole,Back to the Topic Freestyle,darker,a fuckin  tan line,My world a little darker like a fuckin' tan line
J. Cole,Back to the Topic Freestyle,body,a camera phone,I’m picturing that body like a camera phone would
J. Cole,Back to the Topic Freestyle,something,Rihanna,Something like Rihanna while I’m up in that V-gina
J. Cole,Just to Get By,dreams,jeans,"I’m chasing dreams sort of like jeans, boy, I ain’t slacking"
J. Cole,Just to Get By,dreams,jeans,"I’m chasing dreams sort of like jeans, boy, I ain’t slacking"
OutKast,Elevators Me  You,me,Tony,"Me and you like Tony! Toni! Tone! (Yeah, yeah)"
OutKast,Elevators Me  You,way,them,"Yes, we done come a long way like them slim-ass cigarettes"
The Game,Hate It or Love It,strapped,car seats,I stay strapped like car seats
T.I.,Rubber Band Man,man,a one - man band,"Rubberband man, like a one-man band"
JAY-Z,Ignorant Shit,dick,food,"Tell a trick, get these nuts, eat dick like food"
JAY-Z,Real As It Gets,flows,syrup,"Flows like syrup, it just make me wanna pour up"
Memphis Bleek,Dear Summer,words,Peaches & Herb,A couple words and like Peaches & Herb
"Drake, Kanye West, Lil Wayne & Eminem",Forever,hip,a fanny pack,Remember she had that bad hip like a fanny pack?
"Drake, Kanye West, Lil Wayne & Eminem",Forever,buzz,this,He ain't had him a buzz like this
Fugees,Zealots,mcs,Mephistopheles,"I haunt MCs like Mephistopheles, bringing swords of Damocles"
Drake,Im Goin In,nigga,me,"You ain't met a nigga like me, you probably never will"
Drake,Im Goin In,riders,11 wheels,"Riders rollin' with me, like 11 wheels"
Drake,Im Goin In,wobble,a bridge in a earthquake,Making hoes wobble like a bridge in a earthquake
Drake,Im Goin In,flowin,"a slit wrist , no bandage","Money flowin' like a slit wrist, no bandage"
Khia,My Neck My Back Lick It,pussy,this,All you ladies pop your pussy like this
Khia,My Neck My Back Lick It,pussy,this,All you ladies pop your pussy like this
Khia,My Neck My Back Lick It,pussy,you should ( Cm on,Lick this pussy just like you should (C'mon!)
Khia,My Neck My Back Lick It,lick,you,Lick this pussy just like you should
Khia,My Neck My Back Lick It,bitch,me,A bitch like me moans and screams
Khia,My Neck My Back Lick It,pussy,you should ( Cm on,Lick this pussy just like you should (C'mon!)
Khia,My Neck My Back Lick It,lick,you,Lick this pussy just like you should
Khia,My Neck My Back Lick It,pussy,you should ( Cm on,Lick this pussy just like you should (C'mon!)
The Notorious B.I.G.,Whats Beef?,sound,me,Y'all niggas sound like me (Yeah)
JAY-Z,Heart of the City Aint No Love,money,athletes,'Cause faggots hate when you gettin' money like athletes
Master P,Captain Kirk,hoes,acorns,I got hoes like acorns fallin' outta trees
Master P,Captain Kirk,lookin,Joe Sausage,"Kept a smirk on his face, lookin' like Joe Sausage"
Master P,Captain Kirk,nigga,my mind,"Figured she had game, tryin' to fuck a young balla nigga like my mind"
Master P,Captain Kirk,nigga,that,"It's a nigga like that, that make it hard"
Dr. Dre,Let Me Ride,comin,the Gotti boys,"I make a phone call, my niggas comin' like the Gotti boys"
Dr. Dre,Let Me Ride,bumpin,a motherfucker,"Bumpin' like a motherfucker, ready to get my serve on"
Dr. Dre,Let Me Ride,niggas,lynchin,"Some niggas like lynchin', but I just watch 'em hang"
50 Cent,21 Questions,that,that,"And we could go do what you like, I know you like that (Like that)"
JAY-Z,The Rulers Back,future,Cleo,I could predict the future like Cleo the psychic
The Notorious B.I.G.,Gimme the Loot,niggas,Shaquille,"I'm slammin' niggas like Shaquille, shit is real"
BET,2009 BET Hip Hop Awards - Cypher 3,polar,Phyllis Hyman,"Rock rolla, bi-polar like Phyllis Hyman"
JAY-Z,Brooklyns Finest,ties,Sinatra ( uh,Who shot ya? Mob ties like Sinatra (uh)
JAY-Z,Brooklyns Finest,hot,Cajun ( uh,Hot like Cajun (uh)
JAY-Z,Brooklyns Finest,nigga,short sleeves I bear arms ( um !,"Nigga please, like short sleeves I bear arms (um!)"
Dr. Dre,Still D.R.E.,rap,Cali weed,Treat rap like Cali weed: I smoke 'til I'm 'sleep
The Gregory Brothers,Bed Intruder Song,cut,a Caesar,"Coffee complexion, low cut like a Caesar"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,bop,this,(No one on the corner…) Got a bop like this
JAY-Z & T.I.,Swagga Like Us,pocket,this,No one on the corner got a pocket like this
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,these four guys,No one has swagger like these four guys
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (And I'm gone)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (Wow!)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (Yeah)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us (Ha! Ya think)
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (That's right!)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us (Okay)
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (Yeah, That's right)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us (Okay)
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (Yeah, so you notice, huh?)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us (Ha! Yeah!)
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (Okay, tell'em for me shawty)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,"No one on the corner has swagger like us (Yeah, that's right)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us (Yeah!)"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us on the corner has swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
JAY-Z & T.I.,Swagga Like Us,swagger,us,No one on the corner has swagger like us
JAY-Z & T.I.,Swagga Like Us,swagger,us,"Swagger like us, swagger-swagger like us"
DJ Khaled,We Takin Over,big,Diddy,"I'm big like Diddy; damn it, I'm with it"
DJ Khaled,We Takin Over,feelin,"Pac , all eyes on me","Feelin' like Pac, all eyes on me"
Lil Wayne,Dr. Carter,sweet,cake,"Hmm-mm, but you're sweet like cake"
Wu-Tang Clan,Protect Ya Neck,goodbye,Tevin Campbell,"You battle, you're sayin' ""Goodbye"" like Tevin Campbell"
Wu-Tang Clan,Protect Ya Neck,mad,a threat,And I'ma get mad deep like a threat
Wu-Tang Clan,Protect Ya Neck,pins,a fuckin  nurse,I'll be stickin' pins in your head like a fuckin' nurse
Wu-Tang Clan,Protect Ya Neck,flowin,Christ,Flowin' like Christ when I speaks the gospel
Wu-Tang Clan,Protect Ya Neck,bangs,African drums,"Slayin' boom-bangs like African drums, we'll be"
Wu-Tang Clan,Protect Ya Neck,increase,black unemployment,My clan increase like black unemployment
Big Pun,Boomerang,keys,Drago,You know my motto: Clock G's and rock keys like Drago
Big Pun,Boomerang,niggas,a magician,Niggas off the ground like a magician
Big Pun,Boomerang,storm,the Redcoats,Storm like the Redcoats through anything in my path
Big Pun,Boomerang,horse,a slave getting minimum wage,A beaten horse like a slave getting minimum wage
Big Pun,Boomerang,storm,the Redcoats,Storm like the Redcoats through anything in my path
JAY-Z,Venus vs. Mars,shorty,Pac,"Shorty like Pac; me, Big Poppa"
JAY-Z,Venus vs. Mars,shorty,white,I'm on that red wine; shorty like white
JAY-Z,Venus vs. Mars,shorty,Pepsi,"Shorty like Pepsi, me I'm the coke man"
JAY-Z,Venus vs. Mars,body,a Coke bottle,"Body like a Coke bottle, I crush it like a Coke can"
JAY-Z,Venus vs. Mars,mvp,Kobe and Shaq,We were co-MVP's like Kobe and Shaq
Sean Price,Onion Head,slick,El Gato,"Arigato, Sean Price slick like El Gato"
The Notorious B.I.G.,Big Poppa,niggas,dummies,"To the honeys gettin' money, playin' niggas like dummies"
The Notorious B.I.G.,Big Poppa,niggas,dummies ( Uh,"To the honeys gettin' money, playin' niggas like dummies (Uh)"
The Notorious B.I.G.,Big Poppa,niggas,dummies ( Uh,"To the honeys gettin' money, playin' niggas like dummies (Uh)"
Cam'ron,Bubble Music,d,Jadakiss,D on the block just like Jadakiss
JAY-Z,Dead Presidents II,accumulates,snow,"By the ounce, dough accumulates like snow"
JAY-Z,Dead Presidents II,me,white crystal,You're coppin' me like white crystal
JAY-Z,Dead Presidents II,spinners,hit records : Roc - A - Fella,Heavy spinners like hit records: Roc-A-Fella
JAY-Z,Dead Presidents II,unplugged,MTV,"And you, fake thugs is unplugged like MTV"
JAY-Z,Where Im From,foul,us,"I don't know what the fuck they thought, those niggas is foul just like us"
Clipse,Chinese New Year,goodies,Repo Man Sam,Confiscate goodies like Repo Man Sam
Clipse,Chinese New Year,simple,ABC s,Simple like ABC's
Slaughterhouse,Onslaught,spark,"Omilio , you a J - Hood","I'm the gun spark like Omilio, you a J-Hood done video"
Slaughterhouse,Onslaught,comp,Richard Simmons,And treat Comp like Richard Simmons
Slaughterhouse,Onslaught,itchin,the skin of a bitch,"Itchi'n like a syphilis dick, itchin' like the skin of a bitch"
Slaughterhouse,Onslaught,buttons,Jay shoulda,But I push buttons like Jay shoulda did Joe
Slaughterhouse,Onslaught,slant,Gumby s dome,"My flow is straight, yours slant like Gumby's dome"
Cam'ron,Leave Me Alone Pt. 2,days,Joanie and Chachi,Live Happy Days like Joanie and Chachi
Clipse,Kinda Like a Big Deal,vamoose,a magic show,"The roof vamoose, like a magic show"
Clipse,Popular Demand Popeyes,bron,that,"Like that, Bron-Bron? I had that long time ago"
Clipse,Popular Demand Popeyes,coke,a caterpillar,"Coke like a caterpillar, I make butter fly, I"
Clipse,Popular Demand Popeyes,way,a road map,"It made its way home like a road map, I fathered this"
Lil Wayne,I Told Yall,ass,"Twitter ,","I’ma let my goons just follow your ass like Twitter, nigga"
Canibus,C Section,nobody,Bis,Ain't nobody in the world like Bis
Lil Wayne,The Rapper Eater,country,Leanne,Country ass boy country like Leanne rhymes
Lil Wayne,The Rapper Eater,flowin,a bad river,Your rapper is the same flowin like a bad river
Lil Wayne,The Rapper Eater,quiver,you,Make yo ass quiver like you naked at winter
Lil Wayne,The Rapper Eater,hair,buckwheat otay,Nappy ass hair like buckwheat otay
Lil Wayne,The Rapper Eater,free,canned goods,Or you can get murdered for free like canned goods
Clipse,Young Boy,rebel,Che Guevara,Rebel like Che Guevara
Clipse,Nightmares,pumpin,something,My heartbeat's pumpin' like something ain't right
Lil Wayne,Ice Cream,skinny,Chris Rock,"Rims hella big, tires skinny like Chris Rock"
Lil Wayne,Ice Cream,bread,a picnic,"Big bread, bread like a picnic, nigga"
Lil Wayne,Ice Cream,game,"the Hit - Stick , nigga","Shake the whole game like the Hit-Stick, nigga"
Lil Wayne,Ice Cream,motherfuckers,MILF,"We the motherfuckers, like MILF, my nigga"
Lil Wayne,Ice Cream,code,Da Vinci s,"Yeah, I'm in my mode, got a code like Da Vinci's"
Lil Wayne,Ice Cream,beat,sprinkles,"I'm all over this ""Ice Cream"" beat like sprinkles"
Lil Wayne,Ice Cream,swag,a motherfucking,Stupid-fruity swag like a motherfucking Runt
Cam'ron,Get It In Ohio,southside,the White Sox,"Westside, did the Southside like the White Sox (What up Stony Island?)"
DMX,Blackout,respect,Sonny from Bronx Tale,L-O-X get respect like Sonny from Bronx Tale
DMX,Blackout,dynasty,no other,Y'all niggas 'bout to witness a dynasty like no other
Aesop Rock,Labor,characters,Twist characters,Don't stay mad at the caliber (I twist characters like Twist characters)
The Notorious B.I.G.,Notorious Thugs,nigga,me,Nigga like me fiendin' for them green leaves
Joe Budden,Dumb Out,spread,cancer,See I remember shit spread like cancer
Joe Budden,Dumb Out,ink,me,They don't use the ink like me
2Pac,Hail Mary,free,the bird in the tree,Free like the bird in the tree
Nas,Ether,whiskers,a rat,"With whiskers like a rat, compared to Beans, you wack"
DMX,Keep Your Shit the Hardest,sweeper,ahhhh,"Street sweeper like ahhhh, sendin it to a nigga"
Equipto,Here to There,sound,Mary sayin,Suckas sound like Mary sayin no more drama
Juelz Santana,Mixing Up the Medicine,ballin,the 80s,"I'm ballin like the 80s, so James Worthy"
The Notorious B.I.G.,One More Chance,mommy,that,"Like that, mommy?"
The Notorious B.I.G.,One More Chance,physical,Olivia Newt,Getting physical like Olivia Newt
The Notorious B.I.G.,One More Chance,tricks,Scarface and Bushwick,"Is my mind playing tricks, like Scarface and Bushwick"
Swizz Beatz,Its Me Bitches,ass,a free throw,"You front, I'mma I'ma shoot that ass like a free throw"
Nas,Lifes a Bitch,static,wool fabric,"Time is illmatic, keep static like wool fabric"
N.W.A,Fuck tha Police,somethin',that,"Yeah, somethin' like that"
N.W.A,Fuck tha Police,nigga,Ren,But a nigga like Ren don't give a fuck to say
Juelz Santana,Lets Go From Me to U,look,propellers on side,23's look like propellers on side
Juelz Santana,Lets Go From Me to U,mad,her papa,"Get mad like her papa, got an ass like her mama"
Aaliyah,Miss You Remix,pain,your parents  pain,I never seen pain like your parents' pain
Ice Cube,It Was a Good Day,niggas,MJ,"Freakin' niggas every way, like MJ"
Kanye West,Through the Wire,accident,GEICO,There's been an accident like GEICO
Ice Cube,The Nigga Ya Love to Hate,nigga,me,You wanna sweep a nigga like me up under the rug
2Pac,California Love,untouchable,Eliot Ness,A state that's untouchable like Eliot Ness
2Pac,California Love,bumpin,a slow jam,Bumpin' and grindin' like a slow jam
Dr. Dre,Nuthin But a G Thang,funky,a old batch of collard greens,Gettin' funky on the mic like a old batch of collard greens
Dr. Dre,Nuthin But a G Thang,grip,my name,Pimpin' hoes and clockin' a grip like my name was Dolemite
Dr. Dre,Nuthin But a G Thang,mobbin,a motherfucker,Mobbin' like a motherfucker but I ain't lynchin'
Lil Wayne,Go DJ,city,Diddy,"I been runnin' my city like Diddy, you chump"
Lil Wayne,Run This Town,round,a hula hoop and shit,"Running circles 'round the game, like a hula hoop and shit"
JAY-Z,Moment of Clarity,rhyme,Common Sense,Truthfully I wanna rhyme like Common Sense
Fabolous,Keepin it Gangsta Remix,lookin,the walls in Green Haven,Y'all little niggas lookin' up to me like the walls in Green Haven
